"SITE_ID","DATE"
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-06-24
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-10-29
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-12
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-11-26
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-10
"TR068",2016-12-31
"TR068",2016-12-31
"TR068",2016-12-31
"TR068",2017-01-20
"TR068",2017-01-20
"TR068",2017-01-20
"TR068",2017-01-20
"TR068",2017-01-20
"TR068",2017-02-03
"TR068",2017-02-03
"TR068",2017-02-03
"TR068",2017-02-18
"TR068",2017-02-18
"TR068",2017-02-18
"TR068",2017-02-18
"TR068",2017-02-18
"TR068",2017-02-18
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-03
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-17
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-03-31
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-01
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-16
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-04-28
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-02
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-13
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-05-26
"TR068",2017-06-10
"TR068",2017-06-10
"TR068",2017-06-10
"TR068",2017-06-10
"TR068",2017-06-10
